CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101557,Tiruvanmiyur,600041,Chennai,TAMIL NADU,"Tiruvanmiyur,600041,Chennai,TAMIL NADU","600041, Tiruvanmiyur, Chennai, Tamil Nadu",12.972932371149902,80.26605286963591,5.773571969995337
101558,Valmiki Nagar,600041,Chennai,TAMIL NADU,"Valmiki Nagar,600041,Chennai,TAMIL NADU","Valmiki Nagar, Thiruvanmiyur, Chennai, Tamil Nadu",12.981390000000033,80.26377000000008,6.616166906484114
101559,Velacheri,600042,Chennai,TAMIL NADU,"Velacheri,600042,Chennai,TAMIL NADU","600042, Velachery, Chennai, Tamil Nadu",12.980708075438555,80.21940559095881,7.223044767101441
101560,Pallavaram,600043,Kanchipuram,TAMIL NADU,"Pallavaram,600043,Kanchipuram,TAMIL NADU","600043, Pallavaram, Chennai, Kancheepuram, Tamil Nadu",12.970688319590435,80.15002487316704,12.116787209362608
101561,Rajajinagar (Kanchipuram),600043,Kanchipuram,TAMIL NADU,"Rajajinagar (Kanchipuram),600043,Kanchipuram,TAMIL NADU","Rajaji Nagar, Zamin Pallavaram, Chennai, Kancheepuram, Tamil Nadu",12.965710000000058,80.15337000000005,11.555283218075118
101562,Tirusulam,600043,Kanchipuram,TAMIL NADU,"Tirusulam,600043,Kanchipuram,TAMIL NADU","600043, Tirusulam, Chennai, Kancheepuram, Tamil Nadu",12.971954061857996,80.16920758957968,10.355428021277577
101563,Bharathipuram (Kanchipuram),600044,Kanchipuram,TAMIL NADU,"Bharathipuram (Kanchipuram),600044,Kanchipuram,TAMIL NADU","Bharathipuram, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.948200000000043,80.14910000000003,11.356467119233907
101564,Chromepet,600044,Kanchipuram,TAMIL NADU,"Chromepet,600044,Kanchipuram,TAMIL NADU","600044, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.952451508765378,80.14408264897415,12.003928680828135
101565,Darkash,600044,Kanchipuram,TAMIL NADU,"Darkash,600044,Kanchipuram,TAMIL NADU",600044,12.957670000000064,80.10649480000006,16.095550150398573
101566,Lakshmipuram,600044,Kanchipuram,TAMIL NADU,"Lakshmipuram,600044,Kanchipuram,TAMIL NADU","Lakshmipuram, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.955430000000035,80.12997000000007,13.56755344985978
101567,Nagalkeni,600044,Kanchipuram,TAMIL NADU,"Nagalkeni,600044,Kanchipuram,TAMIL NADU","Nagalkeni, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.964170000000024,80.13571000000007,13.267728356325385
101568,Nehrunagar,600044,Kanchipuram,TAMIL NADU,"Nehrunagar,600044,Kanchipuram,TAMIL NADU","Nehru Nagar, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.94258000000002,80.14078000000006,12.107318090111125
101569,Nemilichery,600044,Kanchipuram,TAMIL NADU,"Nemilichery,600044,Kanchipuram,TAMIL NADU","Nemilichery, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.939410000000066,80.15801000000005,10.205116208152877
101570,Radhanagar (Kanchipuram),600044,Kanchipuram,TAMIL NADU,"Radhanagar (Kanchipuram),600044,Kanchipuram,TAMIL NADU","Radha Nagar, Chromepet, Chennai, Kancheepuram, Tamil Nadu",12.951280000000054,80.14697000000007,11.667296623519935
101571,Tirumudivakkam,600044,Kanchipuram,TAMIL NADU,"Tirumudivakkam,600044,Kanchipuram,TAMIL NADU","600044, Thirumudivakkam, Chennai, Kancheepuram, Tamil Nadu",12.969316696335419,80.0930195014742,17.845117147321055
101572,Tiruneermalai,600044,Kanchipuram,TAMIL NADU,"Tiruneermalai,600044,Kanchipuram,TAMIL NADU","600044, Thiruneermalai, Chennai, Kancheepuram, Tamil Nadu",12.956531931611757,80.11347744785975,15.329823992426377
101573,Irumbuliyur,600045,Kanchipuram,TAMIL NADU,"Irumbuliyur,600045,Kanchipuram,TAMIL NADU",600045,12.934560000000033,80.10990286200007,15.316372024845174
101574,MEPZ Tambaram,600045,Kanchipuram,TAMIL NADU,"MEPZ Tambaram,600045,Kanchipuram,TAMIL NADU","Tambaram Flyover, West Tambaram, Chennai, Kancheepuram, Tamil Nadu, 600045",12.924667293604594,80.11292473371984,14.936454953448722
101575,Tambaram,600045,Kanchipuram,TAMIL NADU,"Tambaram,600045,Kanchipuram,TAMIL NADU",Tambaram,12.924410000000023,80.11518000000007,14.691416597682016
101576,Tambaram West,600045,Kanchipuram,TAMIL NADU,"Tambaram West,600045,Kanchipuram,TAMIL NADU",Tambaram West,12.925820000000044,80.10647000000006,15.638839429738702
101577,Tambaram IAF,600046,Kanchipuram,TAMIL NADU,"Tambaram IAF,600046,Kanchipuram,TAMIL NADU","Tambaram, East Tambaram, Chennai, Kancheepuram, Tamil Nadu",12.924890000000062,80.12818000000004,13.281486444630936
101578,Kadaperi,600047,Kanchipuram,TAMIL NADU,"Kadaperi,600047,Kanchipuram,TAMIL NADU","Kadaperi, West Tambaram, Chennai, Kancheepuram, Tamil Nadu",12.933910000000026,80.12431000000004,13.752568326632414
101579,Tambaram Sanatorium,600047,Kanchipuram,TAMIL NADU,"Tambaram Sanatorium,600047,Kanchipuram,TAMIL NADU","600047, Tambaram Sanatorium, Chennai, Kancheepuram, Tamil Nadu",12.941747300267624,80.12926621693627,13.32382740643526
101580,Mannivakkam,600048,Kanchipuram,TAMIL NADU,"Mannivakkam,600048,Kanchipuram,TAMIL NADU","600048, Mannivakkam, Chennai, Kancheepuram, Tamil Nadu",12.889736559139333,80.06576712659763,20.389131117932614
101581,Mudichur,600048,Kanchipuram,TAMIL NADU,"Mudichur,600048,Kanchipuram,TAMIL NADU","600048, Mudichur, Chennai, Kancheepuram, Tamil Nadu",12.910820756240616,80.07207301638276,19.41585698346387
