CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102095,Janakipuram,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102096,Karunguli,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102097,Kathirichery,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102098,Keelavalam,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102099,Kinar,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102100,Kinar Kandigai Pudur,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102101,Malapalayam,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102102,Malayalipettai,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102103,Melavalam,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102104,Pudupattu,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102105,Vedavakkam,603303,Kanchipuram,TAMIL NADU,12.547710418701172,79.90625762939453,58.516084032058586
102106,Kolathur,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102107,Kottaikadu,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102108,Kudapakkam,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102109,Sembulipuram,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102110,Vedal,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102111,Vilambur,603304,Kanchipuram,TAMIL NADU,12.25303840637207,79.97909545898438,82.81397798401942
102112,Kadalur,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102113,Kodoovur,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102114,Kuvathur,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102115,Mugaiyur,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102116,Nedumaram,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102117,Nerkunapattu,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102118,Seekanankuppam,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102119,Vepancheri,603305,Kanchipuram,TAMIL NADU,12.414156913757324,80.10773468017578,61.48849985855636
102120,Arungunam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102121,Madurantakam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102122,Morapakkam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102123,Murugambakkam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
102124,New Mambakkam,603306,Kanchipuram,TAMIL NADU,12.505718231201172,79.88036346435547,63.88487483117262
